Algorithm,Performance_Metric_New,Performance_Metric,Baseline_SCore,Category,Feature_Types,Data_Size
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.770243587,Camera,Unigram,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.848,Camera,Unigram,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.658,Camera,Unigram,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.739234759,Camera,Unigram,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.934454044,Camera,Unigram,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.932,Camera,Unigram,2k
MX,meanRecall,cv_MX_train.meanRecall,0.938,Camera,Unigram,2k
MX,meanFscore,cv_MX_train.meanFscore,0.934773449,Camera,Unigram,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.792878641,Camera,Unigram,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.776,Camera,Unigram,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.819,Camera,Unigram,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.794910891,Camera,Unigram,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.788355732,Camera,Unigram,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.778,Camera,Unigram,2k
BG,meanRecall,cv_BG_train.meanRecall,0.806,Camera,Unigram,2k
BG,meanFscore,cv_BG_train.meanFscore,0.789991225,Camera,Unigram,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.738058367,Camera,Unigram,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.711,Camera,Unigram,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.806,Camera,Unigram,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.752839363,Camera,Unigram,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.860252987,Camera,Unigram,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.865,Camera,Unigram,2k
RF,meanRecall,cv_RF_train.meanRecall,0.855,Camera,Unigram,2k
RF,meanFscore,cv_RF_train.meanFscore,0.85855822,Camera,Unigram,2k
NNET,meanAccuracy,cv_NNET_train.meanAccuracy,0.499114898,Camera,Unigram,2k
NNET,meanPrecision,cv_NNET_train.meanPrecision,0.499,Camera,Unigram,2k
NNET,meanRecall,cv_NNET_train.meanRecall,1,Camera,Unigram,2k
NNET,meanFscore,cv_NNET_train.meanFscore,0.664016488,Camera,Unigram,2k
SLDA,meanAccuracy,cv_SLDA_train.meanAccuracy,0.849330637,Camera,Unigram,2k
SLDA,meanPrecision,cv_SLDA_train.meanPrecision,0.878,Camera,Unigram,2k
SLDA,meanRecall,cv_SLDA_train.meanRecall,0.812,Camera,Unigram,2k
SLDA,meanFscore,cv_SLDA_train.meanFscore,0.842337153,Camera,Unigram,2k
BOOSTING,meanAccuracy,cv_BOOSTING_train.meanAccuracy,0.895745275,Camera,Unigram,2k
BOOSTING,meanPrecision,cv_BOOSTING_train.meanPrecision,0.898,Camera,Unigram,2k
BOOSTING,meanRecall,cv_BOOSTING_train.meanRecall,0.807,Camera,Unigram,2k
BOOSTING,meanFscore,cv_BOOSTING_train.meanFscore,0.848288007,Camera,Unigram,2k
