Algorithm,Performance_Metric_New,Performance_Metric,Unigram,Unigram_Composite,Unigram_Bigram,Unigram_Bigram_Trigram,Unigram_Bigram_Trigram_Composite,Neg_Pos,Part_Of_Speech,Composite_Numerical,Category,Data_Size
NaiveBayes,meanAccuracy,cv_NaiveBayes_train.meanAccuracy,0.770243587,0.781137052,0.806436205,0.804474598,0.809593965,0.764570636,0.519878732,0.583158868,Camera,2k
NaiveBayes,meanPrecision,cv_NaiveBayes_train.meanPrecision,0.848,0.853,0.867,0.873,0.867,0.799,0.513,0.56,Camera,2k
NaiveBayes,meanRecall,cv_NaiveBayes_train.meanRecall,0.658,0.682,0.721,0.713,0.733,0.707,0.922,0.924,Camera,2k
NaiveBayes,meanFscore,cv_NaiveBayes_train.meanFscore,0.739234759,0.757287762,0.786929502,0.783543713,0.793382404,0.749088598,0.655874774,0.691891712,Camera,2k
MX,meanAccuracy,cv_MX_train.meanAccuracy,0.934454044,0.951547916,0.9449472,0.946494907,0.963529246,0.832831269,0.703101824,0.837729917,Camera,2k
MX,meanPrecision,cv_MX_train.meanPrecision,0.932,0.959,0.944,0.95,0.965,0.824,0.705,0.84,Camera,2k
MX,meanRecall,cv_MX_train.meanRecall,0.938,0.943,0.946,0.944,0.963,0.847,0.703,0.835,Camera,2k
MX,meanFscore,cv_MX_train.meanFscore,0.934773449,0.950714643,0.944683564,0.946789281,0.963676333,0.834834499,0.702995507,0.836989157,Camera,2k
SVM,meanAccuracy,cv_SVM_train.meanAccuracy,0.792878641,0.620040045,0.81939657,0.814733667,0.630031312,0.574135295,0.655651814,0.584136179,Camera,2k
SVM,meanPrecision,cv_SVM_train.meanPrecision,0.776,0.594,0.805,0.802,0.601,0.548,0.618,0.553,Camera,2k
SVM,meanRecall,cv_SVM_train.meanRecall,0.819,0.77,0.845,0.834,0.775,0.869,0.812,0.864,Camera,2k
SVM,meanFscore,cv_SVM_train.meanFscore,0.794910891,0.669065605,0.823421429,0.81693123,0.67548836,0.671202051,0.701397855,0.673455142,Camera,2k
BG,meanAccuracy,cv_BG_train.meanAccuracy,0.788355732,0.847428878,0.800400958,0.806379058,0.849746732,0.800718888,0.693697022,0.826824226,Camera,2k
BG,meanPrecision,cv_BG_train.meanPrecision,0.778,0.846,0.793,0.8,0.849,0.785,0.702,0.821,Camera,2k
BG,meanRecall,cv_BG_train.meanRecall,0.806,0.848,0.81,0.821,0.853,0.822,0.679,0.836,Camera,2k
BG,meanFscore,cv_BG_train.meanFscore,0.789991225,0.846574546,0.800224438,0.80985972,0.850705455,0.802695505,0.689051687,0.827645486,Camera,2k
TREE,meanAccuracy,cv_TREE_train.meanAccuracy,0.738058367,0.843873935,0.736219182,0.735673277,0.843873935,0.807404644,0.662068139,0.806384236,Camera,2k
TREE,meanPrecision,cv_TREE_train.meanPrecision,0.711,0.831,0.703,0.711,0.831,0.809,0.64,0.805,Camera,2k
TREE,meanRecall,cv_TREE_train.meanRecall,0.806,0.862,0.815,0.8,0.862,0.807,0.734,0.812,Camera,2k
TREE,meanFscore,cv_TREE_train.meanFscore,0.752839363,0.845954118,0.753412985,0.752315585,0.845954118,0.806534188,0.683575507,0.806675368,Camera,2k
RF,meanAccuracy,cv_RF_train.meanAccuracy,0.860252987,0.873361071,0.866059914,0.857589256,0.873709012,0.8150484,0.698601492,0.83646765,Camera,2k
RF,meanPrecision,cv_RF_train.meanPrecision,0.865,0.857,0.875,0.866,0.861,0.793,0.699,0.823,Camera,2k
RF,meanRecall,cv_RF_train.meanRecall,0.855,0.896,0.859,0.847,0.89,0.848,0.701,0.858,Camera,2k
RF,meanFscore,cv_RF_train.meanFscore,0.85855822,0.875877896,0.865469015,0.856036146,0.874639037,0.819266864,0.69829024,0.839336662,Camera,2k
